Key Concept,Distractors
Variables,"Constants, Functions, Data types, Class definitions, Input/output operations"
Loops,"Conditional statements, Functions, Object-oriented concepts, Control flow structures, Error handling"
Conditionals,"Loops, Functions, Boolean logic, Error handling, Object-oriented concepts"
Object-oriented programming concepts,"Inheritance, Polymorphism, Encapsulation, Abstraction, Procedural programming concepts"
Data structures,"Algorithms, Sorting techniques, Linked lists, Trees, Graphs"
Control flow statements,"Exception handling, Error handling, Input/output operations, Functions, Object-oriented concepts"
Java,"Programming language, Platform, Sun Microsystems, Runtime Environment (JRE), Java API, Standalone Applications, Web Applications, Enterprise Applications, Mobile Applications"
Object-oriented programming language,"High-level, Simple, Features, Robust, Platform Independent, Secured, Architecture-Neutral, Portable, High-Performance, Distributed, Multi-Threaded, Dynamic"
Simple,"Easy to learn, Understandable, Basic concepts of object-oriented programming, Effective usage"
Object,"Entity, State and behaviors, Instance of a class"
Class,"Collection of objects, Properties, Methods, Common to all objects of one type"
Inheritance,"Mechanism, Allows one class to inherit properties and behavior of another class"
Polymorphism,"One task performed in many different ways, Method overloading, Method overriding"
Abstraction,"Hiding internal details, Showing only functionality, Example: car, internal processing"
Encapsulation,"Binding or wrapping code and data together into a single unit, Example: capsule, wrapped with medicines"
Robust,"Strong memory management, Automatic garbage collection, Java Virtual Machine, Error checking mechanism"
Platform Independent,"Code not compiled into platform-specific machines, Executed on multiple platforms"
Secured,"Virus-free applications, Execution inside Java Virtual Machine, No interaction with OS"
Architecture-Neutral,"No implementation dependent features, Fixed size of primitive data types, Executed on 32-bit and 64-bit architectures"
Portable,"Writing once and run anywhere language, Byte code executed on any machine"
High-Performance,"Faster than other traditional interpreted languages, Interpreted language"
Distributed,"Supports creating distributed applications, Using RMI and EJB, Distributed applications in Java"
Multi-Threaded,"Allows creating multiple threads, Simultaneous execution, Dividing program into multiple threads"
Dynamic,Dynamic loading of classes
Initial Development,"Oak, Sun Microsystems, Electronic devices, Remote controls, Set-top boxes"
"Renaming to ""Java""","James Gosling, Patrick Naughton, Chris Warth, Mike Sheridan, 1995"
JDK 1.0 Release,"Write once, run anywhere, Sun Microsystems, Jan 1996"
JDK 1.1 Release,"Feb 1997, New features, Java Development Kit, JDK 1.0, Sun Microsystems"
Open Sourcing JVM,"Java Virtual Machine, Free and open source software, General Public License, Nov 13, 2006"
Oracle Acquisition,"Oracle Corporation, 2010, Sun Microsystems, New versions, Features"
JDK SE 16 Release,"Oracle Corporation, Current version, March 16, 2021, New features"
Java Architecture,"JVM, JRE, JDK, Compilation, Interpretation, Program execution process, Write Once Run Anywhere (WORA), Platform independence"
Java Virtual Machine (JVM),"Bytecode execution, Runtime environment, Write Once Run Anywhere (WORA), Class Loader, Method Area, Heap, Stack, Program Counter (PC) Registers, Native Method Stack"
Class Loader,"Bootstrap Class Loader, Extension Class Loader, Application Class Loader, Loading .class files into memory"
Method Area,"Runtime constant pool, Fields, Method data, Code for methods"
Heap,"Object creation, Instance variables, Memory allocation for class instances and arrays"
Stack,"Stack frames, Local variables, Method calls, Partial results"
Program Counter (PC) Registers,"Address of currently executing JVM instruction, Support for multiple threads"
Native Method Stack,"Native methods, Separate stack for each thread"
Execution Engine,"Interpreter, Just-In-Time Compiler (JIT), Garbage Collector, Conversion of bytecode to machine language instructions"
Java Native Interface (JNI),"Communication with applications written in other languages, Execution of native code"
Native Libraries,Collection of libraries written in other languages
Java Runtime Environment (JRE),"Software tools for developing Java applications, Set of libraries, Plugins, Applet support"
Java Development Kit (JDK),"Compiler, Interpreter, Debugger, Document generator, Software development environment"
Java API,"Packages, Classes, Interfaces, Methods"
java.io,"Input/output operations, Data streams, File system operations, Exception handling"
java.net,"Networking, HTTP requests, TCP/IP protocols, Socket programming, Exception handling"
java.util,"Date and time handling, Collection framework (Lists, Maps, Sets), Random number generation, Exception handling"
java.awt,"User interface components, Graphics rendering, Event handling, Layout managers, Swing components"
java.sql,"Database connectivity, SQL queries, Result sets handling, Prepared statements, Exception handling"
javax.swing,"GUI components, Layouts, Event listeners, Custom painting, AWT components"
java.math,"Arbitrary-precision arithmetic, BigInteger, BigDecimal, Mathematical operations, Exception handling"
Java Platform,"JVM (Java Virtual Machine), Compiler, API (Application Programming Interface), Hardware environment, Software environment, Runtime environment"
Java SE,"Java EE, Java ME, Java programming language, Java.io, Java.net, Java.util, Java.math, Enterprise applications, Web applications, Mobile applications"
Java EE,"Java SE, Java ME, Web applications, Enterprise applications, Servlet, JSP (JavaServer Pages), Web Services, EJB (Enterprise JavaBeans), Microservices"
Java ME,"Java SE, Java EE, Mobile applications, Web applications, Embedded systems, Android development, iOS development, Microcontroller programming, Mobile device programming"
Lambda Expressions,"Anonymous methods, Functional interfaces, Single Abstract Method (SAM) interfaces, Arrow operator"
Syntax for Functional Interface,"Interface declaration, Abstract method declaration syntax, Examples of functional interfaces"
Lambda Expression Syntax,"Parameter list, Arrow operator (->), Body of the lambda expression, Examples of lambda expressions"
Lambda Expression Examples,"Constant return values, Arithmetic operations in lambda expressions, Examples of lambda expressions with and without arguments"
Usage of Lambda Expressions,"Implementing functional interfaces, Defining behavior for functional interfaces, Lambda expression in various contexts"
Method References,"Lambda Expressions, Anonymous Methods, Static Methods, Instance Methods, Constructors"
Static Method,"Instance Method, Constructor, Lambda Expressions, Object-oriented Programming"
Instance Method,"Static Method, Constructor, Lambda Expressions, Object-oriented Programming"
Constructor,"Static Method, Instance Method, Lambda Expressions, Object-oriented Programming"
Type Annotations,"Marker Annotation, Single Value Annotation, Multi Value Annotation, Predefined Java Annotations, Predefined Java annotation applied to other Annotations"
Marker Annotation,"Single Value Annotation, Multi Value Annotation, Predefined Java Annotations, Predefined Java annotation applied to other Annotations"
Single Value Annotation,"Marker Annotation, Multi Value Annotation, Predefined Java Annotations, Predefined Java annotation applied to other Annotations"
Multi Value Annotation,"Marker Annotation, Single Value Annotation, Predefined Java Annotations, Predefined Java annotation applied to other Annotations"
Predefined Java Annotations,"Marker Annotation, Single Value Annotation, Multi Value Annotation, Predefined Java annotation applied to other Annotations"
Predefined Java annotation applied to other Annotations,"Marker Annotation, Single Value Annotation, Multi Value Annotation, Predefined Java Annotations"
Method Parameter Reflection,"Method, Parameter, Reflection, .class file, java.lang.reflect package, Method class, Parameter class, getModifiers(), getName(), getParameterAnnotations(), getReturnType(), getParameterCount(), getParameterTypes(), isNamePresent(), isImplicit(), isSynthetic()"
Setting the Path Environment Variable,"Saving java files in JDK/bin directory, Ways to set JDK path, Temporary path setting steps, Permanent path setting steps"
Java Compiler and Interpreter,"Compilation, Interpretation, Java Compiler (responsibilities and actions), Java Interpreter (responsibilities and actions)"
Java Class File,"Bytecode, .class extension, Generation after successful compilation, Execution on Java Virtual Machine, Handling multiple classes in a program"
Java Programs,"Structure of a Java program, Source code file extension, Class definition, Main method, Method structure and execution, Program execution steps and parameters"
